"rfmo","flag","lon","lat","year","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"iccat","JPN",-39.5,-44.5,1980,38480,0,20,0,0,0,20,0,0
"iccat","JPN",-39.5,-44.5,1981,88750,0,186,0,0,0,186,0,0
"iccat","JPN",-39.5,-44.5,1982,128216,0,165,0,0,0,165,0,0
"iccat","JPN",-39.5,-44.5,1983,30420,0,47,0,0,0,47,0,0
"iccat","JPN",-39.5,-44.5,1984,5750,0,35,0,0,0,35,0,0
"iccat","BRA",-39.5,-44.5,1992,38040,10.05,0,0,0,10.05,0,0,0
"iccat","TAI",-39.5,-44.5,1993,75708,9.2,483,0.2,10,9,473,0,0
"iccat","TAI",-39.5,-44.5,2001,12971,2.402,0,0,0,2.402,0,0,0
"iccat","BRA",-39.5,-44.5,2015,6500,0,78,0,0,0,26,0,52
"iccat","JPN",-34.5,-44.5,1973,2259,0,3,0,0,0,3,0,0
"iccat","JPN",-34.5,-44.5,1982,30360,0,10,0,0,0,10,0,0
"iccat","BRA",-34.5,-44.5,1992,16020,3.307,0,0.255,0,3.052,0,0,0
"iccat","TAI",-34.5,-44.5,1993,75708,9.6,504,0,0,9.6,504,0,0
"iccat","BRA",-34.5,-44.5,2013,1600,0.006,0,0,0,0.006,0,0,0
"iccat","PRT",-34.5,-44.5,2022,0,0.0598,0,0.0598,0,0,0,0,0
"iccat","BRA",-29.5,-44.5,1992,25200,8.823,0,0.255,0,8.406,0,0.162,0
"iccat","TAI",-29.5,-44.5,1993,75708,10.4,546,0,0,10.4,546,0,0
"iccat","BRA",-29.5,-44.5,2015,2700,0,81,0,40,0,33,0,8
"iccat","TAI",-24.5,-44.5,1993,75708,12.9,661,1.2,52,9.8,515,1.9,94
"iccat","BRA",-24.5,-44.5,2009,18750,1.059,0,0.179,0,0.846,0,0.034,0
"iccat","TAI",-19.5,-44.5,1994,35820,5.2,247,0,0,4.8,233,0.4,14
"iccat","TAI",-14.5,-44.5,1993,75708,8,420,0,0,8,420,0,0
"iccat","TAI",-14.5,-44.5,1994,35820,4.9,237,0.1,4,4.8,233,0,0
"iccat","TAI",-9.5,-44.5,1993,75708,8.4,441,0,0,8.4,441,0,0
"iccat","TAI",-4.5,-44.5,1993,151416,21.2,1103,0.5,21,18.6,977,2.1,105
"iccat","KOR",-4.5,-44.5,2023,44410,0.061,0,0,0,0.061,0,0,0
"iccat","JPN",-4.5,-44.5,2024,10610,0,45,0,0,0,45,0,0
"iccat","TAI",0.5,-44.5,1983,24438,1.3,107,0,0,1.3,107,0,0
"iccat","JPN",0.5,-44.5,1989,63990,0,1,0,0,0,1,0,0
"iccat","TAI",0.5,-44.5,1993,302832,36.8,1921,1.2,52,35.4,1859,0.2,10
"iccat","BRA",0.5,-44.5,2016,3750,0,66,0,13,0,14,0,39
"iccat","KOR",0.5,-44.5,2023,14872,0.02,0,0,0,0.02,0,0,0
"iccat","JPN",0.5,-44.5,2024,55000,0,76,0,0,0,74,0,2
"iccat","KOR",0.5,-44.5,2024,87516,0.243,0,0,0,0.243,0,0,0
"iccat","TAI",5.5,-44.5,1991,1405972,115,3450,91.8,2502,0,0,23.2,948
"iccat","JPN",5.5,-44.5,1993,2963,0,23,0,0,0,23,0,0
"iccat","TAI",5.5,-44.5,1993,151416,17.9,935,0,0,17.9,935,0,0
"iccat","JPN",10.5,-44.5,1972,25671,0,27,0,0,0,27,0,0
"iccat","JPN",10.5,-44.5,1974,2766,0,1,0,0,0,1,0,0
"iccat","JPN",10.5,-44.5,1980,9821,0,2,0,0,0,2,0,0
"iccat","JPN",10.5,-44.5,1999,14631,0,3,0,0,0,3,0,0
"iccat","JPN",15.5,-44.5,1970,61573,0,94,0,0,0,94,0,0
"iccat","JPN",15.5,-44.5,1972,58459,0,6,0,0,0,6,0,0
"iccat","JPN",15.5,-44.5,1974,36317,0,40,0,0,0,40,0,0
"iccat","JPN",15.5,-44.5,1975,16388,0,1,0,0,0,1,0,0
"iccat","JPN",15.5,-44.5,1976,2425,0,10,0,0,0,10,0,0
"iccat","JPN",15.5,-44.5,1979,41138,0,8,0,0,0,8,0,0
"iccat","JPN",15.5,-44.5,1990,121312,0,74,0,44,0,22,0,8
"iccat","TAI",15.5,-44.5,1991,702986,57.5,1725,45.9,1251,0,0,11.6,474
"iccat","JPN",15.5,-44.5,2005,238291,0,46,0,0,0,46,0,0
"iccat","JPN",15.5,-44.5,2008,235761,0,11,0,0,0,11,0,0
"iccat","JPN",15.5,-44.5,2012,9600,0,3,0,0,0,3,0,0
"wcpfc","KOR",-172.5,-42.5,1974,5728.017,524.128,48774,57.374,1274,327.385,42523,139.369,4977
"iattc","KOR",-147.5,-42.5,1979,22.514,0,366,0,4,0,362,0,0
"iattc","TWN",-147.5,-42.5,1979,4.209,2.26,193,0.45,11,1.81,182,0,0
"iattc","KOR",-147.5,-42.5,1981,16.17,0,892,0,4,0,886,0,2
"iattc","TWN",-147.5,-42.5,1983,9.646,6.39,563,0,0,6.39,563,0,0
"iattc","KOR",-147.5,-42.5,1984,5.351,0,119,0,0,0,119,0,0
"iattc","KOR",-147.5,-42.5,1986,56.355,0,1928,0,0,0,1928,0,0
