"rfmo","lon","lat","year","month","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"iccat",-49.5,0.5,2014,2,2,1.827,0,0,NA,0,NA,1.827,NA
"iccat",-49.5,0.5,2014,3,2,5.153,0,0.052,NA,0,NA,5.101,NA
"iccat",-49.5,0.5,2014,4,2.72,0.759,0,0,NA,0.759,NA,0,NA
"iccat",-49.5,0.5,2015,4,6,7.44,0,0.129,NA,0.537,NA,6.774,NA
"iccat",-49.5,0.5,2015,5,6,5.157,0,0.05,NA,1.417,NA,3.69,NA
"iccat",-49.5,0.5,2018,5,54,22.68,0,1.98,NA,6.35,NA,14.35,NA
"iccat",-49.5,0.5,2018,6,50,13.03,0,2.48,NA,2.76,NA,7.79,NA
"iccat",-49.5,0.5,2018,7,52,19.38,0,1,NA,6.8,NA,11.58,NA
"iccat",-49.5,0.5,2018,9,50,17.643,0,1.44,NA,8.163,NA,8.04,NA
"iccat",-49.5,0.5,2018,10,38,12.18,0,1.67,NA,3.53,NA,6.98,NA
"iccat",-49.5,0.5,2019,5,50,17.65,0,3.84,NA,0.4,NA,13.41,NA
"iccat",-49.5,0.5,2020,3,34,8.653,0,2.076,NA,1.519,NA,5.058,NA
"iccat",-49.5,0.5,2021,3,67.5,16.987,0,3.885,NA,1.875,NA,11.227,NA
"iccat",-49.5,0.5,2024,5,11.298,0,906,NA,0,NA,0,NA,906
"iccat",-49.5,0.5,2024,8,6,0,13,NA,8,NA,2,NA,3
"iccat",-44.5,0.5,1957,9,2.3,0,546,NA,0,NA,16,NA,530
"iccat",-44.5,0.5,1957,10,17.491,0,1259,NA,15,NA,94,NA,1150
"iccat",-44.5,0.5,1957,12,4.399,0,213,NA,2,NA,22,NA,189
"iccat",-44.5,0.5,1958,5,4.883,0,191,NA,8,NA,8,NA,175
"iccat",-44.5,0.5,1958,6,3.727,0,273,NA,8,NA,3,NA,262
"iccat",-44.5,0.5,1958,7,15.806,0,2354,NA,10,NA,275,NA,2069
"iccat",-44.5,0.5,1958,10,143.242,0,13294,NA,8,NA,1192,NA,12094
"iccat",-44.5,0.5,1959,6,69.856,0,6373,NA,20,NA,1022,NA,5331
"iccat",-44.5,0.5,1959,7,74.702,0,6164,NA,2,NA,325,NA,5837
"iccat",-44.5,0.5,1959,10,14.184,0,1615,NA,12,NA,51,NA,1552
"iccat",-44.5,0.5,1960,1,16.087,0,959,NA,192,NA,55,NA,712
"iccat",-44.5,0.5,1960,2,5.373,0,375,NA,28,NA,67,NA,280
"iccat",-44.5,0.5,1960,4,7.075,0,433,NA,87,NA,122,NA,224
"iccat",-44.5,0.5,1960,5,2.358,0,60,NA,0,NA,0,NA,60
"iccat",-44.5,0.5,1960,6,68.276,0,6076,NA,68,NA,954,NA,5054
"iccat",-44.5,0.5,1960,7,78.245,0,6470,NA,107,NA,992,NA,5371
"iccat",-44.5,0.5,1960,9,27.529,0,1635,NA,11,NA,178,NA,1446
"iccat",-44.5,0.5,1960,10,100.032,0,3907,NA,55,NA,682,NA,3170
"iccat",-44.5,0.5,1961,5,2.136,0,41,NA,6,NA,5,NA,30
"iccat",-44.5,0.5,1961,6,11.61,0,516,NA,9,NA,108,NA,399
"iccat",-44.5,0.5,1961,10,77.271,0,3875,NA,77,NA,1227,NA,2571
"iccat",-44.5,0.5,1962,5,170.725,0,10132,NA,396,NA,1605,NA,8131
"iccat",-44.5,0.5,1962,6,132.494,0,7546,NA,170,NA,690,NA,6686
"iccat",-44.5,0.5,1962,9,23.874,0,1541,NA,10,NA,157,NA,1374
"iccat",-44.5,0.5,1962,10,50.127,0,2073,NA,73,NA,301,NA,1699
"iccat",-44.5,0.5,1963,3,14.08,0,569,NA,32,NA,38,NA,499
"iccat",-44.5,0.5,1963,4,25.984,0,738,NA,110,NA,190,NA,438
"iccat",-44.5,0.5,1963,5,35.123,0,1118,NA,232,NA,254,NA,632
"iccat",-44.5,0.5,1963,9,8.256,0,349,NA,5,NA,75,NA,269
"iccat",-44.5,0.5,1963,10,9.76,0,837,NA,29,NA,427,NA,381
"iccat",-44.5,0.5,1963,11,17,0,1255,NA,32,NA,741,NA,482
"iccat",-44.5,0.5,1964,4,60.474,0,1668,NA,491,NA,865,NA,312
"iccat",-44.5,0.5,1964,8,3.374,0,67,NA,2,NA,12,NA,53
"iccat",-44.5,0.5,1964,10,41.732,0,1583,NA,87,NA,821,NA,675
"iccat",-44.5,0.5,1964,11,21.888,0,763,NA,354,NA,56,NA,353
"iccat",-44.5,0.5,1965,3,3.088,0,64,NA,3,NA,8,NA,53
"iccat",-44.5,0.5,1965,4,73.548,0,1915,NA,114,NA,343,NA,1458
"iccat",-44.5,0.5,1965,5,24.58,0,459,NA,85,NA,82,NA,292
"iccat",-44.5,0.5,1965,8,13.76,0,743,NA,26,NA,112,NA,605
"iccat",-44.5,0.5,1965,9,31.752,0,713,NA,51,NA,128,NA,534
"iccat",-44.5,0.5,1966,1,3.65,0,37,NA,3,NA,0,NA,34
"iccat",-44.5,0.5,1966,2,8.226,0,113,NA,18,NA,23,NA,72
"iccat",-44.5,0.5,1966,4,10.395,0,354,NA,54,NA,46,NA,254
"iccat",-44.5,0.5,1966,5,3.465,0,72,NA,20,NA,20,NA,32
"iccat",-44.5,0.5,1966,12,10.395,0,78,NA,9,NA,26,NA,43
"iccat",-44.5,0.5,1967,5,32.319,0,1058,NA,44,NA,120,NA,894
"iccat",-44.5,0.5,1968,5,61.405,38.9,0,1.9,NA,2.8,NA,34.2,NA
"iccat",-44.5,0.5,1968,5,61.405,0,1125,NA,43,NA,188,NA,894
"iccat",-44.5,0.5,1968,6,117.538,80.9,0,3.8,NA,7.4,NA,69.7,NA
"iccat",-44.5,0.5,1968,6,117.538,0,2404,NA,87,NA,492,NA,1825
"iccat",-44.5,0.5,1968,11,49.804,0,2416,NA,345,NA,0,NA,2071
"iccat",-44.5,0.5,1969,5,63.525,0,1540,NA,402,NA,413,NA,725
"iccat",-44.5,0.5,1969,6,12.82,0,328,NA,21,NA,0,NA,307
"iccat",-44.5,0.5,1969,7,10.823,0,176,NA,19,NA,42,NA,115
"iccat",-44.5,0.5,1970,6,40.527,0,832,NA,21,NA,191,NA,620
"iccat",-44.5,0.5,1970,7,130.464,0,2362,NA,100,NA,443,NA,1819
"iccat",-44.5,0.5,1970,8,1.98,0,50,NA,0,NA,0,NA,50
"iccat",-44.5,0.5,1970,9,2.295,0,25,NA,3,NA,7,NA,15
"iccat",-44.5,0.5,1971,5,32.209,0,874,NA,86,NA,346,NA,442
"iccat",-44.5,0.5,1971,6,19.136,0,671,NA,42,NA,220,NA,409
"iccat",-44.5,0.5,1971,9,1.8,0,39,NA,0,NA,0,NA,39
"iccat",-44.5,0.5,1974,3,2.498,1.9,0,0.3,NA,0.4,NA,1.2,NA
"iccat",-44.5,0.5,1974,9,20.02,4.3,0,1.3,NA,0.7,NA,2.3,NA
"iccat",-44.5,0.5,1975,1,2.752,1.7,0,0.6,NA,0.5,NA,0.6,NA
"iccat",-44.5,0.5,1975,6,28.08,13,0,4.4,NA,2.5,NA,6.1,NA
"iccat",-44.5,0.5,1975,9,5.875,0,62,NA,4,NA,1,NA,57
"iccat",-44.5,0.5,1975,9,21.28,13.7,0,3.6,NA,1.4,NA,8.7,NA
"iccat",-44.5,0.5,1975,10,2.2,0.1,0,0,NA,0.1,NA,0,NA
"iccat",-44.5,0.5,1975,11,2.2,0.5,0,0.2,NA,0.3,NA,0,NA
"iccat",-44.5,0.5,1975,12,65.6,23.6,0,5.7,NA,1,NA,16.9,NA
"iccat",-44.5,0.5,1976,1,33.6,16.1,0,2.3,NA,1.4,NA,12.4,NA
"iccat",-44.5,0.5,1976,2,14,6.8,0,2.3,NA,1.1,NA,3.4,NA
"iccat",-44.5,0.5,1976,5,14,10.3,0,2.3,NA,8,NA,0,NA
"iccat",-44.5,0.5,1976,6,36.4,18,0,3.4,NA,1.1,NA,13.5,NA
"iccat",-44.5,0.5,1976,7,33.6,34.5,0,4.5,NA,25.5,NA,4.5,NA
"iccat",-44.5,0.5,1976,7,106.4,65,0,7,NA,21,NA,37,NA
"iccat",-44.5,0.5,1976,12,58.8,25.9,0,6.8,NA,5.6,NA,13.5,NA
"iccat",-44.5,0.5,1977,1,8.64,4.4,0,1,NA,1,NA,2.4,NA
"iccat",-44.5,0.5,1977,2,8.64,2.9,0,0.4,NA,1,NA,1.5,NA
"iccat",-44.5,0.5,1977,3,8.64,3.8,0,0.9,NA,0.9,NA,2,NA
"iccat",-44.5,0.5,1977,4,11.52,6.7,0,1.9,NA,2.2,NA,2.6,NA
"iccat",-44.5,0.5,1977,6,33.187,31.4,0,1.2,NA,2.8,NA,27.4,NA
"iccat",-44.5,0.5,1977,7,67.91,33.6,0,12.2,NA,6.2,NA,15.2,NA
"iccat",-44.5,0.5,1977,8,40.56,27.8,0,2.1,NA,3.5,NA,22.2,NA
"iccat",-44.5,0.5,1977,9,2.16,0,18,NA,0,NA,0,NA,18
"iccat",-44.5,0.5,1977,9,29,36.5,0,1.2,NA,6.7,NA,28.6,NA
"iccat",-44.5,0.5,1977,10,31.368,13,0,2,NA,5.8,NA,5.2,NA
"iccat",-44.5,0.5,1978,7,6.4,1.3,0,0.2,NA,0.1,NA,1,NA
"iccat",-44.5,0.5,1978,10,19.6,20.4,0,0.3,NA,2.5,NA,17.6,NA
"iccat",-44.5,0.5,1979,1,4.56,0,49,NA,2,NA,0,NA,47
"iccat",-44.5,0.5,1979,1,5.965,2.4,0,0.2,NA,0.2,NA,2,NA
"iccat",-44.5,0.5,1979,2,9.6,0,143,NA,21,NA,11,NA,111
"iccat",-44.5,0.5,1979,2,2.871,1.2,0,0.2,NA,0,NA,1,NA
"iccat",-44.5,0.5,1979,3,22.502,12.2,0,5.7,NA,1.8,NA,4.7,NA
"iccat",-44.5,0.5,1979,5,3.281,0.3,0,0.2,NA,0,NA,0.1,NA
"iccat",-44.5,0.5,1979,6,4.876,1.4,0,0.7,NA,0.3,NA,0.4,NA
"iccat",-44.5,0.5,1979,9,11.04,0,218,NA,7,NA,4,NA,207
"iccat",-44.5,0.5,1979,9,3.75,0.8,0,0,NA,0.1,NA,0.7,NA
"iccat",-44.5,0.5,1980,1,4.56,0,61,NA,3,NA,4,NA,54
"iccat",-44.5,0.5,1980,6,8.865,4.8,0,0.2,NA,0.5,NA,4.1,NA
"iccat",-44.5,0.5,1980,7,8.34,5.9,0,0,NA,0.4,NA,5.5,NA
"iccat",-44.5,0.5,1981,2,6.4,0,40,NA,7,NA,3,NA,30
"iccat",-44.5,0.5,1981,4,51.5,0,1638,NA,62,NA,122,NA,1454
"iccat",-44.5,0.5,1981,5,13.176,6.4,0,1.4,NA,1.2,NA,3.8,NA
"iccat",-44.5,0.5,1981,6,26.1,0,508,NA,15,NA,8,NA,485
"iccat",-44.5,0.5,1981,6,78.72,40.7,0,5.9,NA,3.1,NA,31.7,NA
"iccat",-44.5,0.5,1981,7,5.12,2.1,0,0.2,NA,0.1,NA,1.8,NA
"iccat",-44.5,0.5,1981,12,2.2,0,20,NA,3,NA,2,NA,15
"iccat",-44.5,0.5,1981,12,16.288,0,300,NA,81,NA,50,NA,169
"iccat",-44.5,0.5,1982,1,17.92,7.3,0,0.9,NA,0.8,NA,5.6,NA
"iccat",-44.5,0.5,1982,4,21.6,0,205,NA,22,NA,39,NA,144
"iccat",-44.5,0.5,1982,5,2.645,1.3,0,1.1,NA,0,NA,0.2,NA
"iccat",-44.5,0.5,1982,6,110.2,0,946,NA,79,NA,164,NA,703
"iccat",-44.5,0.5,1982,6,16.401,0,178,NA,26,NA,2,NA,150
"iccat",-44.5,0.5,1982,10,2.462,1,0,0.6,NA,0,NA,0.4,NA
"iccat",-44.5,0.5,1983,1,3.9,0.5,0,0,NA,0,NA,0.5,NA
"iccat",-44.5,0.5,1983,3,26.4,0,279,NA,21,NA,18,NA,240
"iccat",-44.5,0.5,1983,4,21.6,0,221,NA,23,NA,19,NA,179
"iccat",-44.5,0.5,1983,4,8.221,2.6,0,0.7,NA,0.6,NA,1.3,NA
"iccat",-44.5,0.5,1983,9,3.037,2.8,0,0.1,NA,1.2,NA,1.5,NA
"iccat",-44.5,0.5,1983,12,23.2,0,182,NA,31,NA,18,NA,133
"iccat",-44.5,0.5,1984,2,10.3,0,79,NA,3,NA,11,NA,65
"iccat",-44.5,0.5,1984,4,36,0,508,NA,20,NA,58,NA,430
"iccat",-44.5,0.5,1984,5,8.59,3,0,0.8,NA,0.6,NA,1.6,NA
"iccat",-44.5,0.5,1984,6,36,0,586,NA,21,NA,82,NA,483
"iccat",-44.5,0.5,1984,7,87,0,1214,NA,45,NA,25,NA,1144
"iccat",-44.5,0.5,1984,8,17.8,0,230,NA,14,NA,2,NA,214
"iccat",-44.5,0.5,1984,9,11.6,0,67,NA,5,NA,11,NA,51
"iccat",-44.5,0.5,1984,10,5.212,0,29,NA,12,NA,2,NA,15
"iccat",-44.5,0.5,1985,1,9.5,0,54,NA,14,NA,1,NA,39
"iccat",-44.5,0.5,1985,4,5.423,1.7,0,0.8,NA,0.6,NA,0.3,NA
"iccat",-44.5,0.5,1985,5,24,0,214,NA,3,NA,27,NA,184
"iccat",-44.5,0.5,1985,6,21.8,0,198,NA,8,NA,32,NA,158
"iccat",-44.5,0.5,1985,8,52.4,0,1017,NA,37,NA,61,NA,919
"iccat",-44.5,0.5,1985,9,11.9,8.7,0,0.5,NA,0,NA,8.2,NA
"iccat",-44.5,0.5,1985,9,144.2,0,2606,NA,46,NA,65,NA,2495
"iccat",-44.5,0.5,1985,9,9.52,0,155,NA,9,NA,0,NA,146
"iccat",-44.5,0.5,1985,10,7.8,4.9,0,1.4,NA,0,NA,3.5,NA
"iccat",-44.5,0.5,1985,10,5.2,0,90,NA,21,NA,0,NA,69
"iccat",-44.5,0.5,1985,11,12.8,2.5,0,0.5,NA,0,NA,2,NA
"iccat",-44.5,0.5,1985,11,10.4,0,72,NA,8,NA,0,NA,64
"iccat",-44.5,0.5,1985,12,13.8,0,131,NA,18,NA,1,NA,112
"iccat",-44.5,0.5,1986,1,69.95,34.7,0,11.9,NA,1.7,NA,21.1,NA
"iccat",-44.5,0.5,1986,6,111.2,0,1119,NA,49,NA,45,NA,1025
"iccat",-44.5,0.5,1986,7,28.1,0,330,NA,15,NA,22,NA,293
"iccat",-44.5,0.5,1986,8,14.5,0,130,NA,8,NA,2,NA,120
"iccat",-44.5,0.5,1986,8,9.4,1.7,0,0.5,NA,0.7,NA,0.5,NA
"iccat",-44.5,0.5,1986,9,3.4,0.8,0,0.1,NA,0.1,NA,0.6,NA
"iccat",-44.5,0.5,1986,10,13.463,2.5,0,0.2,NA,1.4,NA,0.9,NA
"iccat",-44.5,0.5,1987,1,3.15,1.3,0,0.5,NA,0,NA,0.8,NA
"iccat",-44.5,0.5,1987,2,18.3,0,77,NA,8,NA,7,NA,62
"iccat",-44.5,0.5,1987,12,21.4,0,128,NA,22,NA,1,NA,105
"iccat",-44.5,0.5,1988,3,2.25,0,36,NA,20,NA,0,NA,16
"iccat",-44.5,0.5,1988,4,4.95,0,131,NA,81,NA,0,NA,50
"iccat",-44.5,0.5,1988,5,0.4,0,9,NA,0,NA,0,NA,9
"iccat",-44.5,0.5,1988,8,8.5,0,79,NA,3,NA,2,NA,74
"iccat",-44.5,0.5,1989,2,5.382,0,33,NA,2,NA,0,NA,31
"iccat",-44.5,0.5,1989,3,4.006,0,76,NA,36,NA,1,NA,39
"iccat",-44.5,0.5,1989,3,6.783,0,186,NA,61,NA,2,NA,123
"iccat",-44.5,0.5,1989,4,15.062,0,327,NA,164,NA,0,NA,163
"iccat",-44.5,0.5,1989,5,4.516,0,54,NA,19,NA,0,NA,35
"iccat",-44.5,0.5,1989,6,1.4,0,10,NA,9,NA,0,NA,1
"iccat",-44.5,0.5,1989,7,4.2,0,29,NA,28,NA,0,NA,1
"iccat",-44.5,0.5,1989,9,4.9,0,8,NA,7,NA,0,NA,1
"iccat",-44.5,0.5,1989,11,5.802,0,98,NA,20,NA,12,NA,66
"iccat",-44.5,0.5,1990,3,14.984,0,419,NA,196,NA,32,NA,191
"iccat",-44.5,0.5,1990,4,20.4,0,95,NA,4,NA,7,NA,84
"iccat",-44.5,0.5,1990,4,3.4,0,30,NA,12,NA,1,NA,17
"iccat",-44.5,0.5,1990,5,7.9,0,39,NA,1,NA,2,NA,36
"iccat",-44.5,0.5,1990,8,11.1,0,24,NA,8,NA,0,NA,16
"iccat",-44.5,0.5,1990,9,5.46,0,66,NA,5,NA,6,NA,55
"iccat",-44.5,0.5,1990,10,2.97,0,17,NA,0,NA,5,NA,12
"iccat",-44.5,0.5,1990,10,4.5,0,7,NA,6,NA,0,NA,1
"iccat",-44.5,0.5,1990,11,29,0,70,NA,9,NA,9,NA,52
"iccat",-44.5,0.5,1990,12,2.1,0,36,NA,1,NA,0,NA,35
"iccat",-44.5,0.5,1991,1,2.25,0,20,NA,3,NA,1,NA,16
"iccat",-44.5,0.5,1991,2,1.05,0,27,NA,13,NA,0,NA,14
"iccat",-44.5,0.5,1991,3,0.372,0,4,NA,4,NA,0,NA,0
"iccat",-44.5,0.5,1991,6,5.6,0,93,NA,17,NA,17,NA,59
"iccat",-44.5,0.5,1991,12,46.56,0,645,NA,393,NA,35,NA,217
"iccat",-44.5,0.5,1992,1,3,0,59,NA,40,NA,1,NA,18
"iccat",-44.5,0.5,1992,2,46.351,0,1029,NA,771,NA,22,NA,236
"iccat",-44.5,0.5,1992,6,5.52,0,84,NA,22,NA,21,NA,41
"iccat",-44.5,0.5,1992,7,5.52,0,84,NA,22,NA,21,NA,41
"iccat",-44.5,0.5,1992,10,5.22,0,46,NA,16,NA,0,NA,30
"iccat",-44.5,0.5,1993,10,3.584,0.3,0,0,NA,0,NA,0.3,NA
"iccat",-44.5,0.5,1993,10,3.696,0,1,NA,0,NA,0,NA,1
"iccat",-44.5,0.5,1993,10,3.584,0,13,NA,2,NA,0,NA,11
"iccat",-44.5,0.5,1994,5,2.8,2.9,0,0,NA,2.5,NA,0.4,NA
"iccat",-44.5,0.5,1994,6,2.8,0.49,0,0,NA,0,NA,0.49,NA
"iccat",-44.5,0.5,1995,4,3,0,82,NA,7,NA,0,NA,75
"iccat",-44.5,0.5,1996,8,1.56,0,37,NA,6,NA,2,NA,29
"iccat",-44.5,0.5,1997,1,2.7,0,57,NA,1,NA,2,NA,54
"iccat",-44.5,0.5,1997,2,3.65,0,48,NA,2,NA,2,NA,44
"iccat",-44.5,0.5,1997,3,1.53,0,8,NA,1,NA,0,NA,7
"iccat",-44.5,0.5,1997,4,2.138,0,7,NA,1,NA,0,NA,6
"iccat",-44.5,0.5,1997,5,9.59,0,176,NA,18,NA,4,NA,154
"iccat",-44.5,0.5,1997,7,0.7,0,12,NA,1,NA,0,NA,11
"iccat",-44.5,0.5,1997,10,2.73,0,39,NA,4,NA,0,NA,35
"iccat",-44.5,0.5,1998,2,2.058,0,15,NA,2,NA,0,NA,13
"iccat",-44.5,0.5,1998,4,1.4,0,16,NA,1,NA,0,NA,15
"iccat",-44.5,0.5,1998,9,3.6,1.2,0,0.1,NA,0.9,NA,0.2,NA
"iccat",-44.5,0.5,1998,10,11.12,0,104,NA,8,NA,7,NA,89
"iccat",-44.5,0.5,1999,8,1.3,0.52959,0,0.0221,NA,0.09272,NA,0.41477,NA
"iccat",-44.5,0.5,1999,11,5.32,0,43,NA,23,NA,0,NA,20
"iccat",-44.5,0.5,2000,1,24.005,29.788,0,24.543,NA,0.078,NA,5.167,NA
"iccat",-44.5,0.5,2000,2,24.005,14.7,0,8.5,NA,0,NA,6.2,NA
"iccat",-44.5,0.5,2000,3,48.011,2.48,0,0.93,NA,0,NA,1.55,NA
"iccat",-44.5,0.5,2000,4,28.807,10.951,0,10.951,NA,0,NA,0,NA
"iccat",-44.5,0.5,2000,4,1.578,0,18,NA,2,NA,0,NA,16
"iccat",-44.5,0.5,2000,5,213.58,119.701,0,88.121,NA,0.914,NA,30.666,NA
"iccat",-44.5,0.5,2000,6,52.812,45.83,0,32.551,NA,3.384,NA,9.895,NA
"iccat",-44.5,0.5,2000,7,150.229,37.502,0,29.71,NA,2.307,NA,5.485,NA
"iccat",-44.5,0.5,2000,8,106.836,8.883,0,2.428,NA,1.417,NA,5.038,NA
"iccat",-44.5,0.5,2000,12,2.758,0,5,NA,2,NA,0,NA,3
"iccat",-44.5,0.5,2001,3,1.1,0.4972,0,0.2712,NA,0.0565,NA,0.1695,NA
"iccat",-44.5,0.5,2001,4,1.1,0.5989,0,0.1921,NA,0,NA,0.4068,NA
"iccat",-44.5,0.5,2001,7,2.793,0.49833,0,0.08475,NA,0,NA,0.41358,NA
"iccat",-44.5,0.5,2001,7,14.25,3.56967,0,0.85315,NA,0.36499,NA,2.35153,NA
"iccat",-44.5,0.5,2001,7,3.3,0.4294,0,0.2034,NA,0,NA,0.226,NA
"iccat",-44.5,0.5,2001,7,2.793,0,13,NA,1,NA,0,NA,12
"iccat",-44.5,0.5,2001,7,1,0,23,NA,0,NA,0,NA,23
"iccat",-44.5,0.5,2001,8,7.2,7.5371,0,0.2034,NA,2.61595,NA,4.71775,NA
"iccat",-44.5,0.5,2001,8,4.4,0.678,0,0.3955,NA,0,NA,0.2825,NA
"iccat",-44.5,0.5,2002,2,0.9,0,9,NA,5,NA,0,NA,4
"iccat",-44.5,0.5,2002,4,1.2,0.42488,0,0,NA,0,NA,0.42488,NA
"iccat",-44.5,0.5,2002,4,44.262,6.448,0,4.689,NA,0.518,NA,1.241,NA
"iccat",-44.5,0.5,2003,3,17.866,8.793,0,6.946,NA,0.648,NA,1.199,NA
"iccat",-44.5,0.5,2003,4,3.178,0,46,NA,42,NA,0,NA,4
"iccat",-44.5,0.5,2003,5,98.925,0,1789,NA,1275,NA,370,NA,144
"iccat",-44.5,0.5,2003,7,6,0.318,0,0.07,NA,0,NA,0.248,NA
"iccat",-44.5,0.5,2004,1,9.747,0,98,NA,65,NA,22,NA,11
"iccat",-44.5,0.5,2004,2,115.342,66.299,0,5.295,NA,52.147,NA,8.857,NA
"iccat",-44.5,0.5,2004,3,6.498,0,76,NA,8,NA,30,NA,38
"iccat",-44.5,0.5,2004,4,16.143,7.32,0,1.509,NA,4.919,NA,0.892,NA
"iccat",-44.5,0.5,2005,2,2.92,0.804,0,0.131,NA,0,NA,0.673,NA
"iccat",-44.5,0.5,2005,3,33.1,23.265,0,0,NA,23.265,NA,0,NA
"iccat",-44.5,0.5,2005,7,36.278,0,442,NA,90,NA,86,NA,266
"iccat",-44.5,0.5,2006,5,4.938,0.34,0,0.32,NA,0,NA,0.02,NA
"iccat",-44.5,0.5,2006,6,1.233,0.38,0,0.38,NA,0,NA,0,NA
"iccat",-44.5,0.5,2007,8,2.5,0.852,0,0.668,NA,0,NA,0.184,NA
"iccat",-44.5,0.5,2007,8,2,1.13,0,0,NA,0.143,NA,0.987,NA
"iccat",-44.5,0.5,2007,11,2.55,1.143,0,1.079,NA,0,NA,0.064,NA
"iccat",-44.5,0.5,2009,8,0.8,0,1,NA,1,NA,0,NA,0
"iccat",-44.5,0.5,2010,5,6.12,0,65,NA,56,NA,4,NA,5
"iccat",-44.5,0.5,2010,6,6.12,0,54,NA,44,NA,3,NA,7
"iccat",-44.5,0.5,2010,8,2,0.078,0,0,NA,0.078,NA,0,NA
"iccat",-44.5,0.5,2011,2,6.528,0,8,NA,0,NA,0,NA,8
"iccat",-44.5,0.5,2011,3,6.12,0,24,NA,5,NA,5,NA,14
"iccat",-44.5,0.5,2011,7,12,0,54,NA,8,NA,15,NA,31
"iccat",-44.5,0.5,2011,8,28.62,0,290,NA,0,NA,71,NA,219
"iccat",-44.5,0.5,2011,11,16.303,0,89,NA,0,NA,0,NA,89
"iccat",-44.5,0.5,2012,2,1.9,0,56,NA,0,NA,0,NA,56
"iccat",-44.5,0.5,2012,3,2.7,0,46,NA,3,NA,0,NA,43
"iccat",-44.5,0.5,2012,4,2.97,0,28,NA,12,NA,0,NA,16
"iccat",-44.5,0.5,2012,7,5.44,0.773,0,0.773,NA,0,NA,0,NA
"iccat",-44.5,0.5,2012,10,1.4,0,25,NA,0,NA,0,NA,25
"iccat",-44.5,0.5,2013,3,9.8,0,146,NA,4,NA,3,NA,139
"iccat",-44.5,0.5,2013,9,NA,0.06,0,0,NA,0.06,NA,0,NA
"iccat",-44.5,0.5,2013,10,NA,0.12,0,0,NA,0.12,NA,0,NA
"iccat",-44.5,0.5,2013,12,NA,0.09,0,0,NA,0.09,NA,0,NA
"iccat",-44.5,0.5,2014,1,2.56,1.35,0,0.36,NA,0,NA,0.99,NA
"iccat",-44.5,0.5,2014,1,2,0.264,0,0,NA,0,NA,0.264,NA
"iccat",-44.5,0.5,2014,2,1.9,4.098,0,0,NA,0,NA,4.098,NA
"iccat",-44.5,0.5,2014,2,2,4.824,0,0.156,NA,0,NA,4.668,NA
"iccat",-44.5,0.5,2014,7,3.75,1.00247,0,0,NA,0.43311,NA,0.56936,NA
"iccat",-44.5,0.5,2014,12,2.8,1.16406,0,0,NA,0,NA,1.16406,NA
"iccat",-44.5,0.5,2015,3,2.4,0,34,NA,4,NA,0,NA,30
"iccat",-44.5,0.5,2015,7,3.75,1.5225,0,0,NA,0.63285,NA,0.88965,NA
"iccat",-44.5,0.5,2015,9,0.6,0.48089,0,0,NA,0,NA,0.48089,NA
"iccat",-44.5,0.5,2015,11,2.808,0,7,NA,3,NA,0,NA,4
"iccat",-44.5,0.5,2016,5,8.25,3.12698,0,0,NA,0.11741,NA,3.00957,NA
"iccat",-44.5,0.5,2016,7,57.2,27.465,0,1.965,NA,23.63,NA,1.87,NA
"iccat",-44.5,0.5,2016,10,1.5,0,22,NA,7,NA,3,NA,12
"iccat",-44.5,0.5,2016,12,1.5,1.39355,0,0.30077,NA,0.46117,NA,0.63161,NA
"iccat",-44.5,0.5,2017,1,24,6.75,0,0.115,NA,6.52,NA,0.115,NA
"iccat",-44.5,0.5,2017,8,12.308,0,100,NA,32,NA,2,NA,66
"iccat",-44.5,0.5,2017,9,1.94,0.2766,0,0,NA,0,NA,0.2766,NA
"iccat",-44.5,0.5,2017,12,67.5,8.95,0,0,NA,8.95,NA,0,NA
"iccat",-44.5,0.5,2018,2,62.5,15.38,0,2.49,NA,2.54,NA,10.35,NA
"iccat",-44.5,0.5,2018,5,1.3,0,12,NA,6,NA,0,NA,6
"iccat",-44.5,0.5,2018,5,16,4.32,0,0.78,NA,1.52,NA,2.02,NA
"iccat",-44.5,0.5,2018,6,52,16.155,0,2.52,NA,4.4,NA,9.235,NA
"iccat",-44.5,0.5,2018,6,50,17.014,0,1.644,NA,5.06,NA,10.31,NA
"iccat",-44.5,0.5,2018,7,5.2,2.5942615,0,0.03935171,NA,0.23906164,NA,2.31584815,NA
"iccat",-44.5,0.5,2018,8,56,17.5,0,0.42,NA,3.16,NA,13.92,NA
"iccat",-44.5,0.5,2018,8,54,12.715,0,0.975,NA,2.86,NA,8.88,NA
"iccat",-44.5,0.5,2018,8,52,11.92,0,0.56,NA,3.15,NA,8.21,NA
"iccat",-44.5,0.5,2018,8,36,9.37,0,1.18,NA,2.68,NA,5.51,NA
"iccat",-44.5,0.5,2018,10,0.75,0.13814059,0,0,NA,0,NA,0.13814059,NA
"iccat",-44.5,0.5,2018,10,56,19.3,0,2.045,NA,6.39,NA,10.865,NA
"iccat",-44.5,0.5,2019,2,3.75,0.30076888,0,0,NA,0.02449258,NA,0.2762763,NA
"iccat",-44.5,0.5,2019,2,48,11.816,0,4.721,NA,0,NA,7.095,NA
"iccat",-44.5,0.5,2019,2,52,26.1,0,6.76,NA,6.35,NA,12.99,NA
