"rfmo","lon","lat","year","effort_set","effort_day","catch_tot","catch_skj","catch_alb","catch_bet","catch_yft"
"wcpfc",177.5,-37.5,2003,30.71,30.71,591.193,591.193,0,0,0
"wcpfc",177.5,-37.5,2004,58.74,58.74,946.253,946.253,0,0,0
"wcpfc",177.5,-37.5,2005,19.05,19.05,366.319,366.319,0,0,0
"wcpfc",177.5,-37.5,2006,17,17,494.7,494.7,0,0,0
"wcpfc",177.5,-37.5,2007,19.91,19.91,556.202,556.202,0,0,0
"wcpfc",177.5,-37.5,2008,94,94,2628.4,2628.4,0,0,0
"wcpfc",177.5,-37.5,2009,12.07,12.07,155.848,155.848,0,0,0
"wcpfc",177.5,-37.5,2010,36,36,585.1,585.1,0,0,0
"wcpfc",177.5,-37.5,2011,16,16,200,200,0,0,0
"wcpfc",177.5,-37.5,2012,20,20,387,387,0,0,0
"wcpfc",177.5,-37.5,2013,95,95,2791.1,2791.1,0,0,0
"wcpfc",177.5,-37.5,2014,29,29,1018,1018,0,0,0
"wcpfc",177.5,-37.5,2015,41.72,41.72,1007.489,1007.489,0,0,0
"wcpfc",177.5,-37.5,2016,20,20,387.1,387.1,0,0,0
"wcpfc",177.5,-37.5,2017,7,7,90,90,0,0,0
"wcpfc",177.5,-37.5,2018,16.31,16.31,332.341,332.341,0,0,0
"wcpfc",177.5,-37.5,2019,52.96,52.96,1850.265,1850.265,0,0,0
"wcpfc",178.5,-37.5,1991,20,20,497.5,497.5,0,0,0
"wcpfc",178.5,-37.5,1996,6.6,6.6,78.457,74.826,0,0,3.631
"wcpfc",178.5,-37.5,1997,3.24,3.24,100.888,100.888,0,0,0
"wcpfc",178.5,-37.5,1998,73.98,73.98,2978.343,2978.343,0,0,0
"wcpfc",178.5,-37.5,1999,14.31,14.31,787.263,787.263,0,0,0
"wcpfc",178.5,-37.5,2000,33.26,33.26,1606.408,1606.408,0,0,0
"wcpfc",178.5,-37.5,2002,21.14,21.14,352.987,352.987,0,0,0
"wcpfc",178.5,-37.5,2003,17.4,17.4,294.316,294.316,0,0,0
"wcpfc",178.5,-37.5,2004,43.71,43.71,893.259,893.259,0,0,0
"wcpfc",178.5,-37.5,2005,25.05,25.05,693.55,693.55,0,0,0
"wcpfc",178.5,-37.5,2006,28,28,496.1,496.1,0,0,0
"wcpfc",178.5,-37.5,2008,18,18,1027.7,1027.7,0,0,0
"wcpfc",178.5,-37.5,2009,27.15,27.15,999.236,999.236,0,0,0
"wcpfc",178.5,-37.5,2010,26,26,639,639,0,0,0
"wcpfc",178.5,-37.5,2012,14,14,301,301,0,0,0
"wcpfc",178.5,-37.5,2013,12,12,314.2,314.2,0,0,0
"wcpfc",178.5,-37.5,2015,27.11,27.11,1265.098,1265.098,0,0,0
"wcpfc",178.5,-37.5,2016,17,17,460,460,0,0,0
"wcpfc",178.5,-37.5,2018,7.14,7.14,355.788,355.788,0,0,0
"wcpfc",178.5,-37.5,2019,5.19,5.19,584.639,584.639,0,0,0
"wcpfc",179.5,-37.5,2004,9.56,9.56,274.534,274.534,0,0,0
"iccat",-54.5,-36.5,2010,3,0,12.517,0,12.517,0,0
"iccat",-53.5,-36.5,2010,0,0,3.093,0,3.093,0,0
"iccat",-50.5,-36.5,2023,3,0,34,32,0,0,2
"iccat",1.5,-36.5,1996,0,30,4.016,0,4.016,0,0
"wcpfc",150.5,-36.5,1992,4,5.82,7,7,0,0,0
"wcpfc",150.5,-36.5,1993,130.5,153.89,3388.95,3388.95,0,0,0
"wcpfc",150.5,-36.5,1994,104.9,77.42,1910.215,1910.215,0,0,0
"wcpfc",150.5,-36.5,1996,18.8,11.7,436.716,436.716,0,0,0
"wcpfc",150.5,-36.5,1997,75.7,46.92,1153.279,1153.279,0,0,0
"wcpfc",150.5,-36.5,1999,45,25.22,1021,1021,0,0,0
"wcpfc",150.5,-36.5,2000,94,50.87,1312,1309,0,0,3
"wcpfc",150.5,-36.5,2003,10,7.41,283,283,0,0,0
"wcpfc",174.5,-36.5,2001,23.98,23.98,303.797,303.797,0,0,0
"wcpfc",174.5,-36.5,2006,7,7,192,192,0,0,0
"wcpfc",174.5,-36.5,2008,3,3,195,195,0,0,0
"wcpfc",174.5,-36.5,2010,10,10,348.2,348.2,0,0,0
"wcpfc",174.5,-36.5,2015,11.48,11.48,391.106,391.106,0,0,0
"wcpfc",175.5,-36.5,1983,17,9.23,196,196,0,0,0
"wcpfc",175.5,-36.5,1986,56,26.46,740,740,0,0,0
"wcpfc",175.5,-36.5,1987,18,8.69,269,269,0,0,0
"wcpfc",176.5,-36.5,1983,27,16.01,292,292,0,0,0
"wcpfc",176.5,-36.5,1984,47,23.94,536,536,0,0,0
"wcpfc",176.5,-36.5,1986,51,23.87,692,692,0,0,0
"wcpfc",176.5,-36.5,1987,47,22.54,767,767,0,0,0
"wcpfc",176.5,-36.5,1988,79.67,45.57,737.532,737.532,0,0,0
"wcpfc",176.5,-36.5,1990,22.01,20.66,651.536,651.536,0,0,0
"wcpfc",176.5,-36.5,1991,14,14,575,575,0,0,0
"wcpfc",176.5,-36.5,1996,12.1,12.1,136.556,136.556,0,0,0
"wcpfc",176.5,-36.5,1997,3.25,3.25,222.388,222.388,0,0,0
"wcpfc",176.5,-36.5,1998,3.47,3.47,17.339,17.339,0,0,0
"wcpfc",176.5,-36.5,1999,15.34,15.34,567.443,567.443,0,0,0
"wcpfc",176.5,-36.5,2000,31.18,31.18,1041.489,1041.489,0,0,0
"wcpfc",176.5,-36.5,2002,36.63,36.63,930.026,930.026,0,0,0
"wcpfc",176.5,-36.5,2003,7.17,7.17,51.186,51.186,0,0,0
"wcpfc",176.5,-36.5,2005,25.05,25.05,913.141,913.141,0,0,0
"wcpfc",176.5,-36.5,2006,4,4,15,15,0,0,0
"wcpfc",176.5,-36.5,2007,5.53,5.53,276.498,276.498,0,0,0
"wcpfc",176.5,-36.5,2008,6,6,121,121,0,0,0
"wcpfc",176.5,-36.5,2009,11.06,11.06,83.957,83.957,0,0,0
"wcpfc",176.5,-36.5,2010,11,11,490,490,0,0,0
"wcpfc",176.5,-36.5,2011,10,10,226,226,0,0,0
"wcpfc",176.5,-36.5,2012,5,5,78,78,0,0,0
"wcpfc",176.5,-36.5,2013,11,11,209,209,0,0,0
"wcpfc",176.5,-36.5,2014,30,30,587,587,0,0,0
"wcpfc",176.5,-36.5,2015,15.64,15.64,1148.288,1148.288,0,0,0
